loja,cod,desc,saldo,custo_hoje,preco,valor_exposto
L5,57645,ESPONJAS PARA PO COMPACTO,-3,1.53,7.9,24
L3,20050,COL PERM S AMONIA KIT BC PURISSI 7.1,-1,10.39,22.9,23
L3,79807,PINCEL P/DES.ARTISTICO N.2 IMP,-3,3.63,7.54,23
L3,203425,LIXA DE UNHA DE ESPONJA -DAFU,-6,3.46,3.9,23
L3,204179,PERFUME CAPILAR  PITAYA E BAUNILHA  FRAS,-1,11.63,23.26,23
L5,18500,SPRAY SEC ESM 5 CINCO 400NL,-1,16.85,22.9,23
L5,20649,CERA DEPILATORIA CAMOMILA 250G TUTTI DEP,-1,6.66,22.9,23
L5,76251,COLAR OTIMO 76251,-1,7.5,22.9,23
L5,76328,BRINCO OTIMO 76328,-1,7.5,22.9,23
L3,6837,REFIL PO DESC GERME TRIGO YAMA 300G,-1,10.01,22,22
L3,18786,3/0 KIT BEAUTY COLOR PURISSI SEM AMONIA,-1,11.38,21.9,22
L3,203440,PRESILHA DE METAL POLIESTER - DAFU,-2,10.37,10.9,22
L5,4107,OX CARE LISS VOL 30 850ML,-1,9.05,21.9,22
L5,52113,COLAR DE METAL PHD,-1,10.5,21.9,22
L5,59741,QUARTETO DE SOMBRAS AMALFI DERMACHEM LAB,-1,10.31,21.9,22
L3,15980,BACIA CINZA 0 SANTA CLARA,-3,3.55,6.9,21
L3,58892,REMOVEDOR COM ACETONA ALYNE BLUE 500 ML,-1,9.75,20.9,21
L3,76327,BRINCO OTIMO 76327,-1,6.95,20.9,21
L5,52003,BRINCO DE METAL PHD,-1,10.5,21,21
L5,62677,POMADA ESTILIZADORA 3 EM 1 CARMESIM 150G,-1,63.46,20.9,21
L3,5073,12/0 KIT BEAUTY COLOR,-1,9.7,19.9,20
L3,17292,DEPILBELLA CERA MICRO-ONDAS CHOCOLATE BR,-1,6.72,19.9,20
L3,45725,CONJUNTO BELEZA C04 PLASTICO PRINCESA,-1,3.95,20,20
L3,76250,COLAR OTIMO 76250,-1,6.7,19.9,20
L3,76311,BRINCO OTIMO 76311,-2,3.25,9.9,20
L5,62453,BRINCO DE METAL  PHD,-1,0.75,19.9,20
L3,52058,BRINCO DE METAL PHD,-1,9,18.9,19
L3,59744,AGUA MICELAR ACIDO HIALURONICO - DERMACH,-1,4.39,18.9,19
L3,63008,MICRO NUCLEAR PROFESSIONAL MUNDIAL 208M,-1,9.01,18.9,19
L3,75583,HP895-11 BICO DE PATO C/ 4 UNIDADES,-1,8.8,19.32,19
L3,75637,OY435-9 BROCA TUNGSTENIO P/ AREA DA CUTI,-2,53.64,9.52,19
L5,75340,ESCOVA PIRULITO 4018 DISPLAY C/ 16 UN,-1,153,19.13,19
L3,43555,GEL PEEL OFF ARGILA VERDE - DERMACHEM,-1,3.84,17.9,18
L3,49393,FD ALGODAO CARD HID NATHY 250G ROLO 40UN,-42,242.11,0.42,18
L3,52639,ESMALTE 10ML ESSENCIAIS CREMOSO A FRANCE,-3,0,5.9,18
L3,65484,ESMALTE CORA O MELHOR 10ML AI QUE LUXO T,-3,2.62,5.98,18
L3,78661,BLUSH LIQUIDO CHEEK TO CHEEK - HB61161 -,-1,7.98,17.5,18
L3,78663,BLUSH LIQUIDO CHEEK TO CHEEK - HB61163 -,-1,7.98,17.5,18
L5,20471,PO DESC ULTRA BLONDE 50G,-1,4.72,17.9,18
L5,50483,ESCOVA MAYA DIVERSAS DOMPEL,-1,7.65,17.9,18
L5,51349,COND ALYNE PESSEGO NUTRITIVO 1L,-1,9.03,17.9,18
L5,62405,BRINCO DE METAL  PHD,-1,0.7,17.9,18
L3,59546,SH S OPUS NUTR & CRES. 350ML,-1,8.98,16.9,17
L3,65105,ESCOVA RS.CERDAS BR.P/UNHAS,-3,1.41,5.7,17
L3,78667,CORRETIVO LIQUIDO FLAWLESS COLLECTION HB,-1,7.76,17,17
L3,78669,CORRETIVO LIQUIDO FLAWLESS COLLECTION HB,-1,7.76,17,17
L5,30386,"VITAMINA A 2,8 ML.",-6,0.59,2.9,17
L5,30401,"VITAMINA BOMBA 2,8 ML",-6,0.59,2.9,17
L5,30411,"VITAMINA OLEO DE TUTANO 2,8 ML",-6,0.59,2.9,17
L5,47537,BRINCO SUCESSO ARGOLA RB138,-1,8.68,16.9,17
L3,49396,ALGODAO CARD HID NATHY 50G BOLA 5PACKS,-4,165.44,4,16
L3,59203,ESPONJA ESFU SOMB CURVEX,-4,2.33,4,16
L3,59312,LAPIS DERMATOGRAFICO MARROM DELLA E DELL,-1,7.26,15.9,16
L3,76314,BRINCO OTIMO 76314,-1,5.25,15.9,16
L3,76363,BRINCO OTIMO 76363,-2,2.33,7.9,16
L5,3235,BR CENTRAL 7686,-1,2.87,15.9,16
L3,1573,COLAR CLRS-0152-OB,-1,6.42,14.9,15
L3,19200,ESM  GLIT FIO OURO 8ML LUDURANA,-3,1.33,4.9,15
L3,59745,AGUA MICELAR VITAMINA C - DERMACHEM,-1,4.39,14.9,15
L3,60663,SERUM FACIAL CLAREADOR 30ML PHALLEBEAUTY,-1,15.81,14.9,15
L3,65523,ESMALTE IMPALA MOVIMENTA! CREMOSO NADAR ,-3,2.53,5.06,15
L3,77071,BRINCO,-2,3.7,7.4,15
L3,77090,BRINCO,-2,3.8,7.6,15
L3,79806,PINCEL P/DES.ARTISTICO N.1 IMP,-2,3.63,7.54,15
L5,23052,ESM COL CREM AMEIXA,-3,8.43,4.9,15
L5,48648,PINCEL PROF P/ SOBRANCELHA 01 DELLA E DE,-1,6.9,14.9,15
L5,76478,ESPONJA,-9,9.8,1.63,15
L3,1143,PROTETOR DEDOS PRANCHA STA CLARA 496,-1,4.73,13.9,14
L3,4798,PINCEL ESP BICOLOR MARCO BONI 1451,-1,7.13,13.9,14
L3,5248,MINI KIT FASHION COLOR 3.0 YAMA,-1,5.74,13.9,14
L3,42403,SOLUCAO P/ SOBRANCELHA BROW SOLUTION MAD,-1,6.73,14,14
L3,59570,BASE EM GEL ALLSMILE BY REAL LOVE,-1,6.8,14,14
L3,76244,BRINCO OTIMO 76244,-1,4.4,13.9,14
L3,76862,ESM COLORAMA FINI_NU BEIJOS FINI,-2,26.78,6.9,14
L3,79278,ESMALTE 10ML PRA LA DE MARRAKESH MAGIA D,-2,3.06,7,14
L3,79281,ESMALTE 10ML PRA LA DE MARRAKESH MENTA M,-2,3.06,7,14
L3,79283,ESMALTE 10ML PRA LA DE MARRAKESH CEU DE ,-2,3.06,7,14
L3,203885,ESMALTE CREMOSO LEILA 5ML,-3,2.25,4.5,14
L5,28596,E15-07120 ESPONJA PARA MAQUIAGEM DZ C/ 1,-2,8.57,6.9,14
L5,30390,"VITAMINA ARGAN 2,8 ML.",-5,0.59,2.9,14
L5,30393,"VITAMINA QUERATINA 2,8 ml",-5,0.59,2.9,14
L5,30404,"VITAMINA CHOQUE DE FORCA 2,8ML",-5,0.59,2.9,14
L5,30408,"VITAMINA DE OLEO DE COCO 2,8ML",-5,0.59,2.9,14
L5,64294,LIP FRUITS LIP TINT VIVAI,-1,0.17,13.9,14
L5,76235,BRINCO OTIMO 76235,-1,4.5,13.9,14
L3,18656,KIT SUPER BONITA 7.0 PROBELLE,-1,4.98,12.9,13
L3,52738,PeMax Pantenol FlipTop 400ml,-1,0,12.9,13
L3,64099,LACO INFANTIL 4 UND,-1,78,13,13
L3,202607,KIT SUPER BONITA 7.7 PROBELLE,-1,6.29,12.58,13
L5,76329,ESPONJA VELVET PREMIUM MK9980,-1,6.3,12.6,13
L3,1095,TIRA MANCHAS SOFT HAIR 100ML,-1,6.39,11.9,12
L3,51272,LIXA POLIDOR DAFU,-3,2,4,12
L3,51287,ADESIVO SUTIAN MISS FRANDY,-1,2.6,12.22,12
L3,52842,Cora 9ml Black 16 Frapuccino,-3,0,3.9,12
L3,62222,BRINCO DE METAL PHD,-1,0.46,11.9,12
L3,65481,ESMALTE CORA O MELHOR 10ML AI QUE LUXO B,-2,2.62,5.98,12
L3,203445,PRESILHA DE METAL COM POLIESTER - DAFU,-1,10.37,11.9,12
L5,1515,PENTE VERTIX ION REF 1617 BELLIZ,-2,3,5.9,12
L5,12746,SAB INTIMO FRESH HIDRADERM FARMAX 200ML,-1,6.19,11.9,12
L5,12747,SAB INTIMO NEUTRO HIDRADERM FARMAX 200ML,-1,6.19,11.9,12
L5,30391,"VITAMINA HORMONIO 2,8 ML",-4,0.59,2.9,12
L5,30392,"VITAMINA PROTEINA 2,8 ml",-4,0.59,2.9,12
L5,30394,"VITAMINA ALHO 2,8 ml",-4,0.59,2.9,12
L5,30399,"VITAMINA SEMENTE UVA 2,8 ML",-4,0.59,2.9,12
L5,30400,"VITAMINA POS QUIMICA 2,8 ML",-4,0.59,2.9,12
L5,76366,ESCOVA FACIAL MK 3247,-1,6.15,12.3,12
L5,76476,KIT ESPONJA,-13,5.6,0.93,12
L3,1120,PAPEL P/MECHAS ISOLM S/ VEL 450 ST CLARA,-1,2.5,10.9,11
L3,5265,MINI KIT FASHION COLOR 8.66 YAMA,-1,5.84,10.9,11
L3,41043,TOUCA NERO C/ BARRA PRETA SANTA CLARA,-1,1.31,10.9,11
L3,59754,SABONETE VITAMINA C ANTI IDADE 100 ML - ,-1,3.85,10.9,11
L3,64869,LAMINA DE BARBEAR DUPLO FIO ENOX SUPER (,-1,0.73,10.9,11
L3,75610,OY041-13 CARTELA DE UNHA POSTICA REDONDA,-2,8.34,5.48,11
L5,9767,LUVA BLACK G COM 2 UN 1497,-1,5.52,10.9,11
L5,11796,APAR FEM SOFT 1751,-2,2.42,5.62,11
L5,29164,BRINCO DE METAL 8124,-1,4.2,10.9,11
L5,62138,BRINCO DE METAL PHD,-1,5,10.9,11
L5,76461,KIT PULSEIRA DE ACRILICO,-8,8.4,1.4,11
L3,12180,8/1 KIT BELA COR,-1,5.07,9.5,10
L3,15006,PULSEIRA LB281145,-1,2,9.9,10
L3,20354,ESM RISQUE CILIOS ENCANTADOS,-2,2.44,4.9,10
L3,20356,KIT 4/0 MAXTON,-1,5.5,9.5,10
L3,20363,BRINCO NIELY 20363,-1,0.01,10.5,10
L3,75634,OY434-1 BROCA P/ REMOCAO E ACABAMENTO 3/,-1,53.64,9.52,10
L5,3292,PINÇA  FLEX MUNDIAL 110,-5,11.14,1.9,10
L5,19166,ESM LUDURANA IDEAL,-2,17.4,4.9,10
L5,40884,BATOM 2X1 LIPSTICK & LIPGLOSS P&W,-1,0.01,9.9,10
L5,58792,ADESIVO P/ UNHA ARTESANAL ELIANE,-2,0.01,5,10
L3,17644,DBELLA REFIL PROPOLIS 100G,-1,4.14,8.9,9
L3,65513,CORA 10ML NEW GLITTER RUBY RADIANTE A001,-2,2.07,4.74,9
L3,75008,OLEO DE MELALEUCA 15 ML,-1,4.76,8.92,9
L3,76233,PULSEIRA OTIMO 76233,-1,2.67,8.9,9
L3,79383,FUSAO ESMALTE PEROLADO HITS 8ML (LOTE: 2,-1,3.91,8.94,9
L3,7896013545006,ESM COLORAMA LEITE DE COCO,-1,1.27,9,9
L5,2495,LIXA GRANDE MARCO BONI 6002,-1,4.06,8.9,9
L5,30407,"VITAMINA GERME DE TRIGO 2,8ML",-3,0.59,2.9,9
L5,30410,"VITAMINA CHOQUE BRILHO 2,8 ML",-3,0.59,2.9,9
L5,64948,AGUA OXIGENADA 30 VL COLOR INTENSY 75ML ,-1,3.82,8.9,9
L5,75334,PENTE CABO FINO 4549  BARBER GOLD,-1,4,8.78,9
L5,75705,2601 - AGUA OXIGENADA 30/450ML,-1,4.4,8.8,9
L5,76256,BRINCO OTIMO 76256,-1,3,9,9
L5,77423,ESPONJA DE PO POWDER PUFF GLASS HBS04 RU,-1,4.42,8.84,9
L3,57554,ESM NATI FABY CARDOSO CHEGUEI  ATRASADA ,-1,3.6,7.9,8
L3,58566,MEDIDOR VISAGE,-1,0.01,8.5,8
L5,4590,BLUSH 01 MAX LOVE,-1,7.5,7.9,8
L5,15166,UMECT LEITE COCO 100ML,-1,4.65,8.5,8
L5,57703,BRINCO PEROLA HUNKY,-2,0.55,3.9,8
L5,63853,CORTADOR DE METAL PARA UNHA,-1,4.5,7.9,8
L5,64409,DESCOLORANTE CAPILAR QUERATINA E ARGAN 5,-1,3.95,7.9,8
L5,75948,PENTE EM NYLON - CARBONO - C/CABO DE MET,-1,3.84,8.42,8
L5,76319,PINCEL CHANF PRECISAO PREMIUM MK4329,-1,4.2,8.4,8
L5,77090,BRINCO,-1,3.8,7.6,8
L3,607,ESM IMP ALLURE,-2,1.57,3.5,7
L3,3422,PAPEL DEP SAT CLARA 800,-2,1.54,3.6,7
L3,60780,BOX 12 AGUA MICELAR ACTIVE 250ML PH021 P,-4,11.2,1.87,7
L3,64474,CORTADOR DE UNHA C/ CHAV. (EM CAIXA) ENO,-2,1.68,3.58,7
L3,76150,COLAR CRUZ OTIMO,-1,2.45,6.9,7
L3,202315,ESMALTE MARATONANDO CHEIO DE SUSPENSE BL,-1,3.32,6.64,7
L3,203915,ESMALTE TRANSPARENTE NEON VEU 10 ML,-1,3.68,7.36,7
L5,6068,DELIN 3D A PROVA DE AGUA TANGO,-1,2.08,6.9,7
L5,18350,PRODUTO GENERICO,-7,0.1,1,7
L5,63392,LIXA ANAT.ACR.FUME ST.CLARA,-1,1.7,6.9,7
L3,52658,Cora 10ml Cuidados Base Brilho,-1,0,5.9,6
L3,52837,ESMALTE 10ML ESSENCIAIS CINTILANTE CHIC ,-1,0,5.9,6
L3,63368,ESMALTE IMPALA A COR DA MODA CREMOSO BEL,-1,2.53,5.9,6
L3,63373,ESMALTE IMPALA JU PAES - NA ESTRADA META,-1,2.93,5.9,6
L3,65503,ESMALTE CORA O MELHOR 10ML PE NA AREIA C,-1,2.62,5.98,6
L3,77076,BRINCO,-1,2.8,5.6,6
L3,79582,DF7-GT6910-4-DECORACAO PARA UNHA DE PLAS,-1,2.85,6.26,6
L3,203131,PIRANHA 15,-1,3.07,6.4,6
L5,30389,"VITAMINA KARITE 2,8 ml",-2,0.59,2.9,6
L5,30405,"VITAMINA OLEO DE ABACATE 2,8ML",-2,0.59,2.9,6
L5,47372,ESMALTE IMPALA BARBIE ALEM DO ARCO IRIS ,-1,2.74,5.9,6
L5,52604,SKIN CONFORT PHALLEBEAUTY,-6,5.41,1.08,6
L5,62700,ESPONJA PARA MAQUIAGEM,-1,1.23,5.9,6
L5,75688,SL678-3 SILICONE PARA CABELOS,-31,1,0.18,6
L3,15272,ESMALTE IMPALA TRANSPARENTE BETERRA,-1,2.55,4.9,5
L3,30329,ESMALTE IMPALA  CREMOSO TOMATE,-1,2.56,4.9,5
L3,50984,VERNIZ COM PARTICULAS RADIANTES PONTO DE,-1,23.68,4.9,5
L3,64981,ESMALTE IMPALA MOVIMENTA! CREMOSO SEGURA,-1,2.42,4.9,5
L3,64996,HB 8080-2 CORRETIVO LIQUIDO FLAWLESS BEG,-3,0.89,1.78,5
L3,77693,BRINCO,-1,2.6,5.2,5
L3,78310,ESMALTE IMPALA A COR DA MODA CREMOSO SOS,-1,2.56,5.14,5
L3,202868,REMOVEDOR GUARARAPES ALYNE 100ML,-1,2.3,5.26,5
L5,8047,LIXA EVA PES SANTA CLARA 2349,-1,1.33,4.9,5
L5,8066,PINCA PROF ESC PTA ST CLARA,-1,2.52,4.9,5
L5,19175,ESM  RUBRA 8ML LUDURANA,-1,2.21,4.9,5
L5,19186,ESM BASE INCOLOR 8ML LUDURANA,-1,1.96,4.9,5
L5,19191,ESM  OLEO SECANTE 8ML LUDURANA,-1,1.73,4.9,5
L5,64581,ESPONJAS PUFF P/ MAQUIAGEM,-1,6.09,5.07,5
L5,75457,BL005 LIXA PARA UNHA,-8,6.25,0.57,5
L5,77531,DF-PR235003 ORNAMENTO PARA CABELO,-1,4.2,4.9,5
L5,77532,BROCA(REFIL),-1,8.4,4.9,5
L5,78467,PIRANHA PIR-379,-1,4.3,4.6,5
L3,705,ESM IMP COFFEE,-1,2.2,3.5,4
L3,1744,BRINCOS 08,-1,3.84,3.99,4
L3,7131,PO DESC. PROTE?O FIOS 20G,-1,1.57,3.9,4
L3,42525,SACHE UNHA HELLO MINI 20UN,-2,0.73,2,4
L3,75260,LIXA ANAT.POPULAR LILAS P/PES,-1,0.92,4.04,4
L3,203861,ESMALTE CINTILANTE LUCIANA 5ML,-1,2.25,4.5,4
L3,203862,ESMALTE CINTILANTE MAYARA 5ML,-1,2.25,4.5,4
L3,203866,ESMALTE CREMOSO ADRI 5ML,-1,2.25,4.5,4
L3,203917,ESMALTE TRASNPARENTE NEON VEUZINHO 5ML,-1,2.25,4.5,4
L5,1819,LIXA ESFOLIANTE PES SANTA CLARA,-1,1.9,3.9,4
L5,47417,LIXA PROF. GRAN. MEDIA ENOX BANANA 150/2,-1,1.87,3.9,4
L5,75481,BSL376-2 SILICONE P/ C ABELO,-1,20,3.66,4
L3,65131,LIXA POP.RS.P/UNHA PCT.C/100 color,-11,0.05,0.25,3
L3,77095,COLAR,-2,8,1.33,3
L3,77456,LAGRIMAS MAGICAS ROSA 30ML FACE BEAUTIFU,-1,15.6,2.6,3
L3,202224,ESCOVA PR.C.BR.P/UNHA-CX.DISP.,-1,1.29,2.78,3
L5,30398,"VITAMINA OLEO SILICONADO 2,8ML",-1,0.59,2.9,3
L5,30406,"VITAMINA OLEO AMENDOAS 2,8ML",-1,0.59,2.9,3
L5,30409,"VITAMINA DE CAMOMILA 2,8 ML",-1,0.59,2.9,3
L5,76405,DELINEADOR LIQUIDO MAGNETICO,-2,9.8,1.63,3
L5,76518,WZS521 CINTO,-2,8.4,1.4,3
L3,5523,PALITO CHANF ST CLARA UN,-1,5.18,1.9,2
L3,16204,PALITO CUTIC ESP BELLIZ,-1,0.88,1.9,2
L5,3897,ELASTICO MEU MEU,-1,0.98,2.5,2
L5,19227,ESM LUD NUDE SERENA,-1,0.01,2,2
L5,64454,PINCA DE METAL PARA UNHA DF-PF045014-04-,-1,9.8,1.72,2
L5,76387,KIT NAVALHA,-2,7,1.23,2
L5,76512,WZS503 CINTO,-1,9,1.5,2
L3,40995,2 PINCEL P/ GEL CERDA SINT. No 6 REF PCD,-1,0.54,1,1
L3,62659,PEDRA DE JADE ROLO,-2,7.49,0.58,1
L5,2957,TIARA 112.77,-1,1.59,0.58,1
L5,5884,TIC TAC 994639,-1,0.17,1.25,1
L5,74889,BATOM LIQUIDO DUO D08 HBF5688 RUBYROSE,-1,0.3,0.62,1
L5,77664,MASSAGEADOR,-1,0.35,0.7,1
L3,12575,LIXA MINI POP CAN  ST CLARA UN,-209,1.46,0,0
L3,14787,KIT(1 TESOURA COM PENTE PARA SOBRANCELHA,-4,3.3,0.01,0
L3,41026,KIT GRAMPOS,-2,0.01,0.01,0
L3,44500,REFIL DE BROCA DAFU,-1,15.36,0.02,0
L3,52465,GRAMPO 6,-2,0.01,0.01,0
L3,60546,PALITO LARANJEIRA SANTA CLARA PEQUENO DE,-9,0.01,0,0
L3,65129,LIXA MEDIA RS.P/UNHA PCT.C/100,-1,4.14,0.25,0
L3,77081,PIRANHA PARA CABELO,-6,2.88,0.05,0
L5,1,COLAR PER +FLOR+ FITA 01,-2,21.39,0,0
L5,1290,BR DOU CHIQ 082,-1,0,0.02,0
L5,74757,BATOM 24H VERDE,-1,0.4,0.07,0
