loja,cod,desc,saldo,custo_hoje,preco,valor_exposto
L3,79911,SECADOR DE VIAGEM AIRPORT RICCA,-1,79.13,189.92,190
L3,64871,COLA PARA CILIOS POSTICOS RICCA 7G BRANC,-10,9.45,18.9,189
L5,64734,OLEO DE ROSA MOSQUETA 30ML  FACE BEAUTIF,-10,20.4,18.9,189
L5,77582,LG9299,-1,5.25,184.9,185
L5,49426,KIT BANHO DE LUA ESPECIAL SACOLA C/ 9 IT,-5,15.29,35.9,180
L5,64733,SERUM FACIAL VITAMINA C FACE BEAUTIFUL,-10,19.08,17.9,179
L5,10772,6/0 ADVANCED - NÁTUM,-7,3.99,24.9,174
L5,61541,SNC CPR 1 E 2 2X25ML 2 x 25 ML,-1,84.4,168.9,169
L5,64731,MASCARA PRETA BISNAGA DISPLAY  FACE BEAU,-12,14.28,13.9,167
L5,76695,FOLHAS PRONTAS CORPORAL MEL,-1,76.56,164.6,165
L3,30385,PALITO OSSO ANIMAL P/UNHA C/25 SANTA CLA,-41,9.08,3.9,160
L3,47495,KIT HOME CARE MATIZANTE TRIVITT,-1,16.43,159.9,160
L5,56009,CERA DEPILATORIA DEPILAR DE UVA 500G,-4,17,39.9,160
L5,77024,PALETA DE SOMBRAS ROMANCE,-11,76.43,14.56,160
L5,23141,KERATINA RECHARGE NOVEX 80G,-8,4.37,19.9,159
L5,62203,BRINCO DE METAL PHD,-1,0.5,154.8,155
L5,76597,SHAMPOO VITAM COLOR RESVERATROL LOREAL-3,-1,76.88,153.76,154
L5,64529,FLUIDO GLAMOUR CADIVEU 200ML,-2,28.93,75.9,152
L3,41595,ELIXIR BC OLEO NUTRITIVO ABACATE,-6,12.03,24.9,149
L3,63870,HIDRATACAO INTENSIVA TRIVITT - 1KG,-1,25.23,146.9,147
L3,18470,CREME ESFOLIANTE APRICOT FORTE ABRSAO DA,-2,29.64,71.9,144
L3,65130,LIXA MEDIA RS.P/UNHA PCT.C/144,-4,0.05,36,144
L3,203369,RABICO DE POLIESTER - DAFU,-13,8.64,10.9,142
L3,7896013545019,ESM COLORAMA BLACK,-4,5.84,35.4,142
L3,62956,KIT HOME CARE COM HIDRATACAO TRIVITT,-1,9.28,139,139
L3,58606,BOLSA FESTA PEROLA MINU 7534,-1,60,135,135
L5,60338,GLOSS CANDY LIPS - PÊSSEGO,-9,32.15,14.9,134
L5,60339,GLOSS CANDY LIPS - UVA,-9,32.15,14.9,134
L5,7555,ESC BELLIZ ANIMAL SKIN RACKET,-4,14.9,32.9,132
L5,49369,KIT GLANCE HENNA DELINEADOR PARA SOBRANC,-2,20.42,65.9,132
L3,62140,BRINCO DE METAL PHD,-1,0.35,130.8,131
L5,62392,BRINCO DE METAL  PHD,-1,0.42,130.8,131
L3,79627,DF416-PR1218-17-(PRESILHA) - DE METAL CO,-6,9.8,21.52,129
L3,9678,ESPATULA LUXO P/ CREME SANTA CLARA,-26,5.75,4.9,127
L3,79573,DF-UNPT-03-UNHAS POSTICA DE PLASTICO,-7,8.18,17.94,126
L1,55671,PO DESCOLORANTE ITALLIAN COLOR - 400G,-1,16.86,121.9,122
L3,64779,CABINE BRANCO SUNX,-1,9.21,120.9,121
L3,42533,MASCARA FACIAL PEPINO PHALLEBEAUTY,-12,4.4,10,120
L3,79076,MASCARA MATIZADORA LOIRO PERFEITO 300G- ,-2,29.98,59.94,120
L5,3721,BOLSA YH2046C,-1,18.6,119.9,120
L5,41008,KIT PINCEL PROFISSIONAL P/ ILUMINAR C/5 ,-2,112.95,60,120
L5,42533,MASCARA FACIAL PEPINO PHALLEBEAUTY,-12,4.4,10,120
L5,52564,AGUA MICELAR ROSA MOSQUETA PHALLEBEAUTY,-11,4.66,10.9,120
L5,56011,CERA DEPILATORIA DEPILAR DE MACA DO AMOR,-3,17,39.9,120
L5,64721,SABONETE LIQUIDO FACIAL PRE MAKE VITAMIN,-11,11.88,10.9,120
L5,64741,ESPONJA PARA MAQUIAGEM GOTA SORTIDAS  FA,-11,10.8,10.9,120
L3,47301,BRINCO DE METAL PHD,-1,4.5,118.8,119
L5,60340,GLOSS CANDY LIPS - MORANGO,-8,32.15,14.9,119
L5,62265,BRINCO DE METAL  PHD,-1,0.38,118.8,119
L3,203426,LIXA DE EVA - DAFU,-20,5.38,5.75,115
L3,202917,GEL PARA CABELO UNICORNIO - CABELO DE UN,-5,56.43,22.9,114
L5,62902,Mascara Yenzah Cronograma Capilar 3 em 1,-3,16.36,37.9,114
L5,76540,MOCHILA LUCKY GIRL R 9067,-1,55,110,110
L5,76550,MOCHILA R9183,-1,55,110,110
L3,63795,CREME DE PENTEAR HIDRO-RECONSTRUTOR CURV,-2,23.99,53.9,108
L5,52012,COLAR DE METAL PHD,-3,16.5,34.9,105
L3,1141,LIXA EXTRA GROSA ST CLARA UN,-407,7.07,0.25,102
L3,30481,CAPAS PARA CORTE SEM MANGA BARBERSHOP MA,-2,26.05,49.9,100
L5,64405,KIT BANHO DE LUA BASICO CAIXA C/4 ITENS,-4,12.15,24.9,100
L5,76282,CONJUNTO REDENTORA 76282,-1,39.9,99.9,100
L3,76355,BRINCO OTIMO 76347,-9,3.33,10.9,98
L3,44584,FLOR UNITARIA COM SACOLA,-4,3.06,23.9,96
L5,49209,MASCARA COLOR POST RUIVO VALENTE 240G,-2,23.01,47.9,96
L5,49227,GLOSS COM PEROLAS CRISTALINAS IMORTAL,-6,13.1,16,96
L5,77668,BRINCO,-7,6.8,13.6,95
L5,44371,ESPONJA PARA APLICACAO DE MAQUIAGEM MEIU,-7,4.83,13,91
L5,50614,KIT BANHO DE LUA ESSENCIAL SACOLA C/ 6 I,-3,13.99,29.9,90
L5,59116,KIT SALAO NA SUA CASA 1000ML HAIR EXTRAT,-1,34.95,89.9,90
L5,57418,OLEO MINERAL CAPILAR CARMESIM COCO 60ML,-9,2.39,9.9,89
L3,2454,CERA MATIC ROLL-ON MEGA BELL ROSA,-1,29.39,86.9,87
L5,77586,R8853,-1,2.45,86.9,87
L1,20610,S.LINE MEU LISO MASC.VERMELHA 300G#,-2,11.08,41.9,84
L4,20610,S.LINE MEU LISO MASC.VERMELHA 300G#,-2,11.08,41.9,84
L3,124,BLOCO POL  M BONI 5932,-12,2.59,6.9,83
L3,53405,OLEO DE MELALEUCA REPOS 9ML,-7,1.42,11.9,83
L3,65646,ESM RISQUE MEU JEITO ARTISTA SOU EU C/6,-1,41.34,82.68,83
L5,50808,MOUSSE MICELAR PHALLE BEAUTY,-1,28.77,83.04,83
L3,9978,"CERA DEP MAÇA DONA PELE 1,2KG",-2,18.75,39.9,80
L3,63052,Gelatina Ativadora e Umidificadora Cond ,-1,28.98,80,80
L3,203373,PIRANHA DE METAL - DAFU,-9,6.91,8.9,80
L5,4814,MASCARA  ALTA BIOCAP HIDRAMAIS 1KG,-1,38.59,79.9,80
L3,64169,SHAMPOO PRO S.O.S INFUSON LISSE 300ML,-2,3.33,39,78
L3,47806,SERUM VITAMINA C PH0147 PHALLE BEAUTY,-6,13.2,12.9,77
L5,57639,PINCEL PROF LEQUE LINHA W,-6,2.38,12.9,77
L3,202725,PENTES RICCA BASIC PACK 3,-6,5.74,12.6,76
L3,2590,BOLSA DS MOCHILA 6570,-1,34.54,75,75
L5,43072,MAS. PIGM. KAMALEAO COLOR - BOTO ROSA 15,-1,36.9,74.9,75
L5,55688,BOCA ROSA BEAUTY BASE MATE 2 PC- ANA,-1,6.61,74.9,75
L3,46448,LIXA MAD.LUXO P/OS PES SANTA CLARA,-1,1.49,72.16,72
L3,51023,OLEO DE MARULA  FELPS 50ML,-1,30.33,71.9,72
L3,63049,CREME DE PENTEAR AFRICA BAOBA 500G- APIC,-1,22.45,72,72
L5,76374,BRINCO OTIMO 76374,-9,2.33,7.9,71
L3,41141,GEL X&D LED UV GEL PINK NUDE 56G,-1,28,70,70
L3,52114,COLAR DE METAL PHD,-2,16.5,34.9,70
L3,203453,BRINCO DE METAL PEDRA DE VIDRO - DAFU,-5,12.67,13.9,70
L5,30848,ESFOLIANTE P/ OS PES ARGILA VERDE 90G - ,-5,5.27,13.9,70
L5,64586,KIT COM 2 ESPONJAS PARA LIMPEZA,-5,27.88,13.9,70
L5,64588,KIT 12 PINCEIS CILIOS SOBRANCELHAS,-5,27.18,13.9,70
L5,56053,SHAMPOO SUPLEMENTO POWER HAIR 240ML,-1,19.48,67,67
L3,49369,KIT GLANCE HENNA DELINEADOR PARA SOBRANC,-1,20.42,65.9,66
L3,202650,ANASOL PROT. SOLAR FACIAL TSD- ANTIOLEOS,-1,32.86,65.72,66
L5,12248,LIXA LIQUIDA PES 50ML,-3,6.03,21.9,66
L5,48036,8/0 NATUM COLOR,-2,15.68,33,66
L5,48040,6/1 NATUM COLOR,-2,3.99,33,66
L5,76252,BRINCO OTIMO 76252,-3,7,21.9,66
L3,18471,CR ESF APRICOT MEDIO ABRASAO 650G - D'AG,-1,26.75,63.9,64
L3,56198,KIT SOBRANCELHA PHALLEBEAUTY,-4,5.75,16,64
L5,64254,GEL ANTI-IDADE DERMACHEM 100G,-4,4.16,15.9,64
L3,75616,OY174-35 UNHAS POSTI?AS C/ 24 UNI (AUTO ,-1,28.8,63.22,63
L3,203361,ELASTICO - DAFU,-8,4.47,7.9,63
L3,8366,PO DESC. TRADIC. ACT. REFIL 300G,-2,14.36,30.9,62
L3,14832,MS ARGILA BRANCA 120G,-2,15.24,30.9,62
L3,203564,GOLA HIGIENICA DESCARTAVEL DE PESCOCO PA,-8,3.9,7.8,62
L5,28975,ESFOLIANTE CAPILAR ARGILA BRANCA 180G - ,-2,15.35,30.9,62
L3,28121,MASCARA MATIZADORA AMEND SILVER BLONDE 2,-1,25.66,59.9,60
L3,78554,HJ383-6 LINER GEL 8ML,-1,26.4,60.36,60
L3,78874,FIBRA CAPILAR PARA CABELOS CASTANHO ESCU,-1,26.12,59.72,60
L3,202281,SHAMPOO NUTRITIVO CACHOS 300ML- APICE,-1,20.48,59.9,60
L3,49308,OLEO SECANTE TRAT ESM 8ML,-1,1.95,58.8,59
L3,49925,ESCOVA PLAS.TRES FILEIRAS SANTA CLARA,-1,10.6,58.8,59
L3,62427,ESM TOQUE MOCA BONITA CREM 8ML,-1,1.84,58.8,59
L5,75570,HM982-4 KIT NECESSAIRE C/ 3 PCS,-1,144,57.9,58
L3,57673,MEU AMIGO UNICORNIO,-1,27.5,57,57
L3,202419,NECESSAIRE BAILARINA TURMA DA LU,-1,26.09,57.3,57
L5,52058,BRINCO DE METAL PHD,-3,9,18.9,57
L3,60727,"KIT HENNA PARA SOBRANCELHAS MENELA 2,5 G",-1,24.57,55.9,56
L5,30505,ESFOLIANTE P/ O CORPO MARACUJA 90G - PEL,-4,6.24,13.9,56
L5,30843,ESFOLIANTE P/ OS PES TRADICIONAL 90G - P,-4,5.27,13.9,56
L5,30846,ESFOLIANTE P/ O CORPO TRADICIONAL 90G - ,-4,5.27,13.9,56
L5,60729,"KIT HENNA PARA SOBRANCELHAS MENELA 2,5 G",-1,5,55.9,56
L5,62863,SAIS ESPUMANTES MORANGO DIA A DIA 280G L,-2,12.54,27.9,56
L5,78479,NECESSAIRE NCS-398,-1,4.3,55.5,56
L5,79327,CREME DE TRATAMENTO OLEO DE ABACATE PROB,-3,10.24,18.52,56
L5,75516,FH06 PINCEL P/ BLUSH (LINHA ANGEL),-10,29.16,5.49,55
